id,anio,trimestre,mes,no_registro,tipo_deuda,detalle_tipo_deuda,acreedor,concepto,inicio_credito,fin_credito,dias_contrato,dias_restantes_contrato,disposicion_inicial_credito,colocacion_periodo,amortizaciones_periodo,intereses_periodo,pago_servicio_deuda,saldo_periodo,endeudamiento_periodo,tasa,sobretasa,tasa_final
356,2020,4,Diciembre,P09-1214244,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 1,949",31/12/14,26/11/29,5444,3252,1949386371,0," 150,920,235.24 ",91437892.36,242358127.60,1345705430.44,-150920235.24,TIIE,0.36,TIIE+0.36
357,2020,4,Diciembre,P09-1215162,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 1,000",29/12/15,26/12/25,3650,1821,1000000000,0," 75,200,331.91 ",49640263.74,124840595.65,720313496.17,-75200331.91,TIIE,0.41,TIIE+0.41
358,2020,4,Diciembre,P09-1217134,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 1,378",29/12/17,27/12/32,5477,4379,1378859929,0," 91,923,995.28 ",73521164.48,165445159.76,1103087943.16,-91923995.28,TIIE,0.34,TIIE+0.34
359,2020,4,Diciembre,P09-1219069,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 2,000",30/12/19,28/12/26,2555,2188,2000000000,0, -   ,121928922.20,121928922.20,2000000000,0.00,TIIE,0.2,TIIE+0.20
360,2020,4,Diciembre,P09-0720076,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 2,000-20",31/07/20,31/07/30,3652,3493,2000000000,2000000000," 83,333,333.35 ",42165591.89,125498925.24,1916666666.65,1916666666.65,TIIE,0.46,TIIE+0.46
361,2020,4,Diciembre,P09-0720077,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 2,300-20",31/07/20,31/07/30,3652,3493,2300000000,2300000000," 95,833,333.35 ",49526149.42,145359482.77,2204166666.65,2204166666.65,TIIE,0.57,TIIE+0.57
362,2020,4,Diciembre,P09-1220098,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 2,500",11/12/20,25/11/30,3636,3616,2500000000,2500000000, -   ,0.00,0.00,2500000000.00,2500000000.00,TIIE,0.53,TIIE+0.53
363,2020,4,Diciembre,P09-1220099,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 2,683",11/12/20,25/11/30,3636,3616,2683529136,2683529136, -   ,0.00,0.00,2683529136.16,2683529136.16,TIIE,0.64,TIIE+0.64
364,2020,4,Diciembre,P09-1012161,Largo Plazo,Bonos Cup蘝n Cero,BANOBRAS,"BANOBRAS 2,138",12/11/12,25/11/32,7318,4347,2138648319,0, -   ,174238054.88,174238054.88,2138648319,0.00,7.09,0.88,7.97
365,2020,4,Diciembre,P09-1012161,Largo Plazo,Bonos Cup蘝n Cero,BANOBRAS,BANOBRAS 294,30/11/12,25/11/32,7300,4347,294874160,0, -   ,23812726.63,23812726.63,294874160,0.00,7.02,0.88,7.9
366,2020,4,Diciembre,P09-1012161,Largo Plazo,Bonos Cup蘝n Cero,BANOBRAS,BANOBRAS 196,07/11/13,25/11/32,6958,4347,196783977,0, -   ,17259266.68,17259266.68,196783977,0.00,7.7,0.88,8.58
367,2020,4,Diciembre,329/2007,Largo Plazo,Mercado de Capitales,CI BANCO,BONO GDFCB 07,17/12/07,22/11/27,7280,2517,575000000,0, -   ,50290138.88,50290138.88,575000000,0.00,8.65,n/a,8.65
368,2020,4,Diciembre,145/2010,Largo Plazo,Mercado de Capitales,CI BANCO,BONO GDFCB10-2,25/06/10,12/06/20,3640,0,2520951200,0," 840,317,066.67 ",100683989.87,941001056.54,0.00,-840317066.67,7.09,n/a,7.09
369,2020,4,Diciembre,P09-1112186,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GDFECB 12,30/11/12,12/11/27,5460,2507,2500000000,0, -   ,173152777.78,173152777.78,2500000000,0.00,6.85,n/a,6.85
370,2020,4,Diciembre,P09-1113146,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GDFECB 13,28/11/13,16/11/23,3640,1050,2126874900,0, -   ,151610732.46,151610732.46,2126874900,0.00,7.05,n/a,7.05
371,2020,4,Diciembre,P09-1014157,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GDFECB 14,03/11/14,21/10/24,3640,1390,2500000000,0, -   ,162283333.34,162283333.34,2500000000,0.00,6.42,n/a,6.42
372,2020,4,Diciembre,P09-0915121,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GDFECB 15-2,25/09/15,12/09/25,3640,1716,2500000000,0, -   ,169361111.12,169361111.12,2500000000,0.00,6.7,n/a,6.7
373,2020,4,Diciembre,P09-0915121,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GDFECB 15,25/09/15,18/09/20,1820,0,1382000000,0," 460,666,666.64 ",70512711.11,531179377.75,0,-460666666.64,TIIE,0.12,TIIE+0.12
374,2020,4,Diciembre,P09-1216054,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GCDMXCB 16V,09/12/16,03/12/21,1820,337,1000000000,0, -   ,65527777.76,65527777.76,1000000000,0.00,TIIE,0.42,TIIE+0.42
375,2020,4,Diciembre,P09-0917056,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GCDMXCB 17X,19/09/17,07/03/28,3822,2623,2000000000,0, -   ,153688888.88,153688888.88,2000000000,0.00,7.6,n/a,7.6
376,2020,4,Diciembre,P09-1118104,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GCDMXCB 18V,21/11/18,08/11/28,3640,2869,1100000000,0, -   ,110443666.66,110443666.66,1100000000,0.00,9.93,n/a,9.93
377,2020,4,Diciembre,P09-1219057,Largo Plazo,Mercado de Capitales,CI BANCO,BONO CDMXCB 19,03/12/19,20/11/29,3640,3246,1500000000,0, -   ,118603333.34,177905000.01,1500000000,0.00,7.82,n/a,7.82
