Nombre,Rating,Latitud,Longitud,Oferta_1,Precio_1,Oferta_2,Precio_2,Oferta_3,Precio_3
NH Collection Mexico City Reforma,7.9,19.42408,-99.16506,NH Collection,1138,Booking.com,1279,Expedia,1265
Loove Hotel - Adults Only,6.5,19.41164,-99.05655,Despegar,400,Hoteles.com,400,Booking.com,400
Hotel Riazor,8.9,19.39897,-99.17188,Booking.com,1335,Expedia,1028,Hoteles.com,1028
Hotel Villa de Madrid,7.6,19.46157,-99.12513,Booking.com,603,Expedia,603,Hoteles.com,603
Best Western Hotel Majestic,7.4,19.43327,-99.13434,Destinia,1044,Expedia,1401,Hoteles.com,1401
Hotel Menara,8.1,19.42539,-99.13783,Booking.com,440,Expedia,420,Hoteles.com,420
Hotel Downtown Mexico,8,19.43293,-99.13629,Trip.com,3081,Booking.com,2871,Traveluro,2711
Hotel Metropol,7.8,19.43293,-99.14533,Booking.com,637,Expedia,756,Hoteles.com,756
Kali Ciudadela Mexico City,8.5,19.42841,-99.14703,Booking.com,668,Expedia,668,Hoteles.com,668
Hotel Plaza Revolución,8.3,19.43623,-99.15092,Booking.com,983,Expedia,933,Destinia,800
Mala Vecindad,8.4,19.43994,-99.15382,Booking.com,552,Destinia,593,lol.travel,623
Wyndham Garden Mexico City Polanco,8.2,19.42548,-99.17716,Hoteles.com,1321,Expedia,1321,Booking.com,1321
Seoul,7.5,19.43718,-99.12141,Booking.com,362,Expedia,362,Hoteles.com,362
Hotel Geneve Mexico City,8.5,19.4251,-99.16433,Booking.com,1683,Hoteles.com,1701,Expedia,1701
Hotel Samil Plaza,7.9,19.45605,-99.12885,Booking.com,810,Destinia,856,Expedia,900
Guest Green,7.2,19.41321,-99.05524,Expedia,215,,NA,,NA
Hotel Isabel,7.3,19.43,-99.13686,Booking.com,480,Expedia,480,Hoteles.com,480
Isaaya Hotel Boutique,9,19.39414,-99.17558,Booking.com,1371,travelclick,1333,Expedia,1357
Hotel Historico Central,9.4,19.43316,-99.13835,Booking.com,2239,Expedia,2130,Destinia,1797
Hotel Cartagena,7.9,19.47457,-99.13838,Booking.com,582,Expedia,582,Hoteles.com,582
Hotel San Lucas,7.7,19.42447,-99.1325,Booking.com,520,Expedia,520,Hoteles.com,520
Universal,8.1,19.45468,-99.12931,Booking.com,251,Expedia,251,Hoteles.com,251
Hotel Andrade,7.7,19.42081,-99.14584,Booking.com,437,Expedia,437,Despegar,397
El Parque México,7.4,19.40419,-99.06363,Booking.com,1791,Agoda,1791,,NA
One Ciudad De Mexico La Raza,8.6,19.46282,-99.14858,Booking.com,746,travelclick,719,Expedia,739
Hotel Senorial,7.2,19.42752,-99.13978,Booking.com,419,Expedia,419,Despegar,419
San Francisco Centro Histórico,7.1,19.43421,-99.145,Booking.com,828,Expedia,828,Trip.com,808
