Nombre,Rating,Latitud,Longitud,Oferta_1,Precio_1,Oferta_2,Precio_2,Oferta_3,Precio_3
Holiday Inn Hotel & Suites Mexico Medica Sur,8.5,19.29802,-99.16236,Booking.com,1472,Holiday Inn,1472,Expedia,1472
H21 Hospedaje Boutique,9.3,19.34861,-99.16119,Booking.com,2257,Expedia,2508,Hoteles.com,2508
Krystal Grand Suites,8.9,19.35096,-99.18659,Booking.com,1291,Expedia,1291,Hoteles.com,1291
City Express Patio Universidad,8.2,19.36529,-99.16471,Booking.com,1100,Hoteles.com,1100,Expedia,1100
Fiesta Inn Periférico Sur,8.3,19.30239,-99.16569,Booking.com,1028,travelclick,998,Hoteles.com,1028
Stara San Angel Inn,8.2,19.34699,-99.2045,Booking.com,2286,Traveluro,2144,MéxicoDestinos,2030
Suites Perisur Apartamentos Amueblados,9.3,19.30387,-99.18178,Booking.com,1401,travelclick,921,Expedia,1402
Pepper My Love,8.1,19.35082,-99.15929,Booking.com,530,Expedia,530,Hoteles.com,530
Capitals Luxury Apartments,8.6,19.30217,-99.16646,Booking.com,836,Hoteles.com,836,Expedia,836
Calle Berlin,7.7,19.35673,-99.15759,Booking.com,925,Expedia,349,Hoteles.com,349
Moritas,7.5,19.35841,-99.17777,Expedia,669,Hoteles.com,669,Despegar,669
Aztic,7.7,19.29912,-99.20969,Booking.com,468,Expedia,468,Hoteles.com,468
Comfort Inn Cd de México Santa Fe,7.5,19.37085,-99.26568,Booking.com,900,Comfort Inn Hotels,900,Expedia,765
La Casita de Coyoacán,9,19.35082,-99.15276,Booking.com,748,Expedia,858,Hoteles.com,858
Dakota Bed and Breakfast,8.2,19.38798,-99.17867,Booking.com,1460,Expedia,1948,Agoda,1460
Hostal Cuija Coyoacan,8.5,19.35531,-99.16476,Booking.com,750,Agoda,750,,NA
Anys Hostal,8.8,19.42146,-99.16818,Booking.com,695,Despegar,397,Agoda,694
Casa Comtesse,8.7,19.40455,-99.17377,Booking.com,1156,Expedia,1156,Hoteles.com,1156
Zocalo Rooms,6,19.43044,-99.13261,Booking.com,151,Expedia,232,Agoda,151
Casa Tistik,7.7,19.36141,-99.18829,Booking.com,888,Expedia,710,Hoteles.com,710
Centro Diana,5,19.34295,-99.18147,Booking.com,517,Expedia,600,Hoteles.com,600
Holiday Inn Express Mexico Aeropuerto,9.1,19.35837,-99.13108,Booking.com,1280,Expedia,1280,Hoteles.com,1280
Puertas Del Bosque,9.2,19.2962,-99.19015,Booking.com,1906,Expedia,1907,Hoteles.com,1907
Casa Tamayo,8.5,19.34835,-99.16737,Booking.com,1025,Expedia,1709,Agoda,1025
The Host Business Suites,7.9,19.39212,-99.17184,Booking.com,1104,Expedia,920,Hoteles.com,920
Hotel Novotel Mexico City Santa Fe,8,19.36702,-99.26006,Novotel,764,Booking.com,764,Hoteles.com,764
El Greco,7.7,19.38613,-99.17546,Booking.com,670,Agoda,670,,NA
Hotel Real del Sur,7,19.32062,-99.13839,Booking.com,869,Expedia,869,Hoteles.com,869
Quinta Tlalpan,7.9,19.29675,-99.15305,Booking.com,660,Expedia,628,Hoteles.com,628
La Encantada,7.9,19.35598,-99.16595,Despegar,450,Booking.com,450,Expedia,450
Crowne Plaza Hotel De Mexico,8.3,19.39614,-99.17408,Booking.com,1876,Crowne Plaza,1698,Hoteles.com,2086
Flowsuites WTC,7.9,19.39492,-99.17584,Booking.com,1390,travelclick,1287,Hoteles.com,1194
La Luna,8,19.29695,-99.15279,Booking.com,837,Expedia,837,Hoteles.com,837
Pennsylvania Suites,8.9,19.3904,-99.17876,Booking.com,1740,Trip.com,1392,Expedia,1740
Beverly,7.7,19.3867,-99.17542,Booking.com,711,Expedia,711,Hoteles.com,711
Continental Mexica0,7.1,19.30776,-99.23038,Booking.com,318,Agoda,318,,NA
J. Towers Suites,9.1,19.39296,-99.17662,Booking.com,1363,Hoteles.com,1363,Expedia,1363
Hotel Jard Inn,6.7,19.33513,-99.14152,Booking.com,709,Expedia,709,Trip.com,664
Lulu Coyoacán House.,8.1,19.35125,-99.1762,Expedia,1000,Hoteles.com,1000,,NA
Casa Hidalgo,8.4,19.3505,-99.15697,Vrbo,5463,,NA,,NA
Casa Culhuac,8.5,19.34702,-99.25428,Expedia,758,Hoteles.com,758,Despegar,758
Apartamento privado en la azotea! 2,NA,19.37197,-99.17336,Vrbo,1688,,NA,,NA
Department Republicas 74 Int 5,NA,19.36302,-99.14494,Vrbo,1013,,NA,,NA
Safari Retreat - Modern 2 Bedroom Ph With Amazing Views Of Mexico City,NA,19.38641,-99.17746,Despegar,1212,,NA,,NA
Chalet Del Carmen Coyoacán,8.3,19.35547,-99.16582,Booking.com,1050,Despegar,1292,Agoda,1050
Ambos Mundos,7.5,19.40289,-99.18484,Booking.com,750,Expedia,628,Trip.com,764
Bonn,8,19.40002,-99.1825,Booking.com,566,Expedia,529,Hoteles.com,529
Hotel Filadelfia Corporate Suites,8.5,19.39313,-99.17536,Booking.com,1283,Hoteles.com,1421,Expedia,1421
Real Azteca,7.4,19.30316,-99.14633,Booking.com,1180,Expedia,850,Hoteles.com,850
"Guadalupe Inn Cdmx, Nuevo Estrena",8.7,19.35494,-99.18518,Booking.com,1549,,NA,,NA
55 Fernandez Leal,8.1,19.34802,-99.15851,Booking.com,850,,NA,,NA
"Polanco New Apt, Great Location Business Or Fun!",8.6,19.43787,-99.19969,Booking.com,3216,,NA,,NA
Juub In The Heart Of New Polanco (r4),NA,19.44432,-99.20745,Booking.com,1271,,NA,,NA
Kron,7.7,19.2745,-99.1679,Booking.com,750,Expedia,850,Trip.com,850
Atenas Plaza,7.6,19.35562,-99.10146,Booking.com,680,Expedia,680,Trip.com,725
Inn Sur,7.9,19.28122,-99.17264,Expedia,588,Hoteles.com,588,,NA
City Express Central De Abastos,8,19.3685,-99.09943,Booking.com,823,Hoteles.com,823,Expedia,823
Hotel Montreal,8.3,19.34388,-99.14469,Expedia,494,Hoteles.com,494,Despegar,494
Amala,8.4,19.29106,-99.11027,Expedia,984,Hoteles.com,984,Trip.com,984
Hotel Cuore,NA,19.306,-99.14446,Booking.com,750,Agoda,750,,NA
La Huerta Hostel,7.8,19.29264,-99.17867,Booking.com,399,,NA,,NA
Abundantia,NA,19.28864,-99.16962,Despegar,838,,NA,,NA
Hotel Kron,NA,19.29241,-99.17693,Traveluro,1018,Hotelwiz,1005,Despegar,851
Hacienda Peña Pobre,NA,19.29652,-99.19094,travelclick,4794,,NA,,NA
Suites Los Camilos,NA,19.34583,-99.15872,Booking.com,2130,,NA,,NA
Unam Ciudad Universitaria Guesthouse,8.6,19.33139,-99.16532,Booking.com,360,,NA,,NA
Villa Alfonsina,NA,19.35468,-99.16255,Booking.com,1201,,NA,,NA
Estadio Azteca Y Hospitales: Deprtamento En Condominio,NA,19.30531,-99.14842,Vrbo,14980,,NA,,NA
Ciudad De Mexico Unam,NA,19.32637,-99.16737,Booking.com,339,Agoda,339,,NA
Hotel Novo Coapa,NA,19.30192,-99.11929,Booking.com,751,Agoda,751,,NA
Suite Privada,NA,19.29843,-99.22247,Booking.com,522,,NA,,NA
Organico Hotel Boutique,7.8,19.21892,-99.1936,Agoda,3504,,NA,,NA
Juub Coyoacan At Your Doorstep,NA,19.34777,-99.15856,Booking.com,864,,NA,,NA
Beutiful Mexican Loft.,NA,19.31296,-99.22845,Vrbo,999,,NA,,NA
Casa Ajusco,NA,19.22086,-99.2111,Booking.com,1990,,NA,,NA
Honey Loft,NA,19.34806,-99.16026,Despegar,1401,,NA,,NA
Habanero Loft-frida Kahlo’s Neighborhood-coyoacan,NA,19.35082,-99.1593,Despegar,1191,,NA,,NA
Chipotle Loft In The Historic Center Of Coyoacan,NA,19.35082,-99.1593,Despegar,1198,,NA,,NA
Jalapeño Loft In The Historic Center Of Coyoacán,NA,19.35082,-99.1593,Despegar,1199,,NA,,NA
Coyoacan Vip Lofts,8.3,19.35773,-99.16074,Booking.com,1004,,NA,,NA
Inmejorable En El Sur,NA,19.36577,-99.18098,Booking.com,897,,NA,,NA
Casa San Jacinto,NA,19.34395,-99.19231,Booking.com,1967,Agoda,1967,,NA
La Casa De Xochimilco,NA,19.2458,-99.09602,Despegar,1001,,NA,,NA
Casa Coyoacan,NA,19.35048,-99.15283,Booking.com,817,Vrbo,59922,,NA
Ramada Via Veneto Mexico City South,7,19.36116,-99.14346,Hotelwiz,1002,,NA,,NA
Stara Suites,NA,19.34692,-99.20461,Trip.com,2357,,NA,,NA
Suites Viveros,NA,19.35841,-99.17777,Booking.com,1100,,NA,,NA
City Towers Green,NA,19.36423,-99.16111,Booking.com,900,,NA,,NA
Habitacion En Casco De Hacienda Ciudad De Mexico,NA,19.31768,-99.08822,Booking.com,764,,NA,,NA
Torre Sagredo,NA,19.36131,-99.18848,Booking.com,2010,Hotelwiz,910,Agoda,1987
Hotel Maria Rico,NA,19.36685,-99.17102,Booking.com,631,Agoda,631,,NA
Del Angel,7,19.42846,-99.16884,Booking.com,868,Expedia,881,Trip.com,846
Basic Hotel,7.8,19.43515,-99.16638,Booking.com,720,Expedia,716,Hoteles.com,716
Suites Giorgio,7.9,19.42833,-99.16932,Booking.com,900,Expedia,900,Trip.com,708
Casa Emilia,8.9,19.43044,-99.17038,Booking.com,3410,Expedia,3200,Hoteles.com,3200
City Express Junior Cdmx Sullivan,8.8,19.43343,-99.16161,Booking.com,696,Expedia,696,Hoteles.com,696
Maria Cristina,7.3,19.43164,-99.16331,Booking.com,1048,Expedia,1035,Hoteles.com,1035
Mansion Havre,6.6,19.4267,-99.16107,Booking.com,774,Expedia,550,Hoteles.com,550
Flowsuites Condesa,8.4,19.41089,-99.17229,Booking.com,2682,Trip.com,2694,Expedia,2684
Antas,6.3,19.29999,-99.03815,Booking.com,455,Despegar,455,Expedia,455
Siesta Del Sur,7.1,19.3037,-99.05826,Booking.com,544,Expedia,546,Despegar,546
Providencia 848 Wtc,8.6,19.38853,-99.16933,Booking.com,1080,Expedia,1080,Hoteles.com,1080
Villas 7,7.2,19.40313,-99.05888,Booking.com,300,Expedia,400,Hoteles.com,400
Courtyard Mexico City Revolucion,7.3,19.25394,-99.06703,Courtyard,854,MéxicoDestinos,1042,,NA
Hotel Mexicali,7.5,19.40709,-99.13592,Booking.com,525,Despegar,484,Expedia,484
Departamento Amueblado,NA,19.40982,-99.16558,Booking.com,3931,,NA,,NA
Excelente Para Viaje De Negocios,NA,19.38655,-99.19371,Booking.com,697,,NA,,NA
Private Room Inside A Colonial Hacienda,NA,19.31792,-99.08832,Vrbo,993,,NA,,NA
Om 686 Urban Lofts,9.1,19.40233,-99.14671,Booking.com,1530,Expedia,1530,Hoteles.com,1530
Apartamento Cerca Del Foro Sol,NA,19.39784,-99.06446,Booking.com,995,,NA,,NA
Apartment For 4 People And Your Cute Dog,NA,19.39787,-99.06453,Vrbo,19865,,NA,,NA
Boutique Apartment Downtown 1417,8.6,19.4343,-99.14576,Booking.com,1624,Vrbo,1390,,NA
Oh Oriente  - Adults Only,7.7,19.39136,-99.03355,Expedia,427,Hoteles.com,427,Despegar,475
Ventura Hotel & Suites By Dominion,8.5,19.39999,-99.27888,Booking.com,1883,travelclick,1770,Hoteles.com,1851
City Express Plus Interlomas,8.2,19.39259,-99.28107,Booking.com,1818,Expedia,1818,Hoteles.com,1818
Holiday Inn Mexico Santa Fe,8.7,19.36419,-99.26528,Booking.com,900,Holiday Inn,900,Expedia,810
City Express Plus Santa Fe,7.9,19.35893,-99.27818,Booking.com,863,Expedia,863,Hoteles.com,863
City Express Suites Santa Fe,7.9,19.35913,-99.27819,Trip.com,1552,Traveluro,1118,lol.travel,1165
The Place Corporate Rentals,8.6,19.35268,-99.29501,Traveluro,3689,Trip.com,4466,ZenHotels.com,4006
"Spacious Apartment In Mexico City With Lift, Parking, Internet, Terrace",8.5,19.36251,-99.28485,Expedia,720,Hoteles.com,720,,NA
Grupo Kings Suites - Bosque de Duraznos 78,8.9,19.40406,-99.242,Expedia,1271,Despegar,1271,Hotelwiz,1505
Amazing And Spacious 3br 3ba Apt. In Polanco,NA,19.4299,-99.2036,Booking.com,3058,,NA,,NA
Large Department In Chapultepec,NA,19.41107,-99.18803,Vrbo,2582,,NA,,NA
Luxurious Apartment With Amenities Near Santa Fe,NA,19.37023,-99.26449,Booking.com,2630,Despegar,2801,Vrbo,2875
Doubletree by Hilton Mexico City Santa Fe,NA,19.36482,-99.26232,Trip.com,1212,Destinia,875,Despegar,1097
Casa Prim  Boutique,9,19.43055,-99.15535,Booking.com,1896,travelclick,1442,Trip.com,2038
Casa Pepe,8.7,19.43029,-99.13444,Booking.com,1345,Despegar,302,Agoda,2112
Napoles Condo Suite,6.8,19.39626,-99.17609,Booking.com,667,Expedia,650,Hoteles.com,650
Homesuites Condesa,8.7,19.41635,-99.17516,Booking.com,1375,Expedia,935,Hoteles.com,935
Hotel Vermont,8.4,19.39747,-99.17271,Hoteles.com,837,Expedia,837,Trip.com,892
Roosevelt,7.8,19.41574,-99.166,Booking.com,862,Despegar,733,Agoda,862
