"","Fecha","Tasa"
"1",2000-07-31,14.55
"2",2000-08-01,16.005
"3",2000-08-02,16.375
"4",2000-08-03,16.725
"5",2000-08-04,16.71
"6",2000-08-07,16.75
"7",2000-08-08,16.95
"8",2000-08-09,16.75
"9",2000-08-10,16.85
"10",2000-08-11,16.925
"11",2000-08-14,16.98
"12",2000-08-15,16.9
"13",2000-08-16,16.95
"14",2000-08-17,16.9
"15",2000-08-18,16.9
"16",2000-08-21,16.88
"17",2000-08-22,16.79
"18",2000-08-23,16.6
"19",2000-08-24,16.55
"20",2000-08-25,16.5275
"21",2000-08-28,16.525
"22",2000-08-29,16.51
"23",2000-08-30,16.555
"24",2000-08-31,16.22
"25",2000-09-01,16.18
"26",2000-09-04,16.2462
"27",2000-09-05,16.35
"28",2000-09-06,16.5
"29",2000-09-07,16.45
"30",2000-09-08,16.62
"31",2000-09-11,16.605
"32",2000-09-12,16.72
"33",2000-09-13,16.815
"34",2000-09-14,16.945
"35",2000-09-15,17.16
"36",2000-09-18,17.18
"37",2000-09-19,17.07
"38",2000-09-20,16.955
"39",2000-09-21,17.01
"40",2000-09-22,17
"41",2000-09-25,17.07
"42",2000-09-26,17.03
"43",2000-09-27,17.075
"44",2000-09-28,16.97
"45",2000-09-29,16.96
"46",2000-10-02,16.89
"47",2000-10-03,16.865
"48",2000-10-04,16.905
"49",2000-10-05,16.86
"50",2000-10-06,16.845
"51",2000-10-09,16.8
"52",2000-10-10,16.76
"53",2000-10-11,16.725
"54",2000-10-12,16.84
"55",2000-10-13,16.97
"56",2000-10-16,16.995
"57",2000-10-17,17.025
"58",2000-10-18,18.1
"59",2000-10-19,18.0337
"60",2000-10-20,18.05
"61",2000-10-23,18.075
"62",2000-10-24,18.01
"63",2000-10-25,18.09
"64",2000-10-26,18.215
"65",2000-10-27,18.19
"66",2000-10-30,18.16
"67",2000-10-31,18.115
"68",2000-11-01,18.145
"69",2000-11-03,18.125
"70",2000-11-06,18.145
"71",2000-11-07,18.25
"72",2000-11-08,18.575
"73",2000-11-09,18.68
"74",2000-11-10,18.64
"75",2000-11-13,18.85
"76",2000-11-14,18.6
"77",2000-11-15,18.62
"78",2000-11-16,18.675
"79",2000-11-17,18.75
"80",2000-11-21,18.9
"81",2000-11-22,19.01
"82",2000-11-23,19.01
"83",2000-11-24,19
"84",2000-11-27,18.985
"85",2000-11-28,18.925
"86",2000-11-29,18.845
"87",2000-11-30,18.8
"88",2000-12-04,18.745
"89",2000-12-05,18.635
"90",2000-12-06,18.355
"91",2000-12-07,18.25
"92",2000-12-08,18.12
"93",2000-12-11,18.035
"94",2000-12-13,18.02
"95",2000-12-14,18
"96",2000-12-15,17.97
"97",2000-12-18,17.925
"98",2000-12-19,17.92
"99",2000-12-20,18.575
"100",2000-12-21,18.65
"101",2000-12-22,18.795
"102",2000-12-26,18.7225
"103",2000-12-27,18.72
"104",2000-12-28,18.855
"105",2000-12-29,18.775
"106",2001-01-02,19
"107",2001-01-03,19.09
"108",2001-01-04,18.38
"109",2001-01-05,18.22
"110",2001-01-08,18.055
"111",2001-01-09,17.99
"112",2001-01-10,18.06
"113",2001-01-11,17.99
"114",2001-01-12,18.055
"115",2001-01-15,18.85
"116",2001-01-16,19.34
"117",2001-01-17,19.245
"118",2001-01-18,19.2
"119",2001-01-19,19.05
"120",2001-01-22,18.89
"121",2001-01-23,18.835
"122",2001-01-24,18.79
"123",2001-01-25,18.59
"124",2001-01-26,18.445
"125",2001-01-29,18.42
"126",2001-01-30,18.35
"127",2001-01-31,18.15
"128",2001-02-01,18.29
"129",2001-02-02,18.375
"130",2001-02-06,18.46
"131",2001-02-07,18.515
"132",2001-02-08,18.4
"133",2001-02-09,18.45
"134",2001-02-12,18.29
"135",2001-02-13,18.03
"136",2001-02-14,18.125
"137",2001-02-15,18.1
"138",2001-02-16,18.075
"139",2001-02-19,18.02
"140",2001-02-20,18.085
"141",2001-02-21,18.12
"142",2001-02-22,18.05
"143",2001-02-23,17.775
"144",2001-02-26,17.565
"145",2001-02-27,17.39
"146",2001-02-28,17.42
"147",2001-03-01,17.44
"148",2001-03-02,17.5
"149",2001-03-05,17.5
"150",2001-03-06,17.5
"151",2001-03-07,17.47
"152",2001-03-08,17.39
"153",2001-03-09,17.3
"154",2001-03-12,17.25
"155",2001-03-13,17.18
"156",2001-03-14,17.08
"157",2001-03-15,17.2
"158",2001-03-16,17.295
"159",2001-03-19,17.34
"160",2001-03-20,17.345
"161",2001-03-22,17.3
"162",2001-03-23,17.42
"163",2001-03-26,17.22
"164",2001-03-27,17
"165",2001-03-28,16.9
"166",2001-03-29,16.85
"167",2001-03-30,16.75
"168",2001-04-02,16.85
"169",2001-04-03,16.84
"170",2001-04-04,16.78
"171",2001-04-05,16.78
"172",2001-04-06,16.83
"173",2001-04-09,16.76
"174",2001-04-10,16.535
"175",2001-04-11,16.525
"176",2001-04-16,16.49
"177",2001-04-17,16.43
"178",2001-04-18,16.165
"179",2001-04-19,15.98
"180",2001-04-20,16.02
"181",2001-04-23,16.055
"182",2001-04-24,15.94
"183",2001-04-25,15.85
"184",2001-04-26,15.64
